region,region_type,province,year,month,date_month,penderita_dbd,meninggal,population,population_scale,risk_multiplier,monthly_share,weather_multiplier,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,rainfall_lag_1,rainfall_lag_2,humidity_lag_1,temperature_lag_1,temperature_lag_2,data_origin,synthetic_method,incidence_rate_per_100k
JAKARTA BARAT,kota,DKI JAKARTA,2016,2,2016-02-01,94,0,2400000,0.22857142857142856,1.0,0.13298713943770538,1.0643155719842348,27.35,31.29,25.13,85.23,17.96,7.06,7.46,81.38,28.07,27.89,real_jakarta,not_synthetic_real_observed,3.9166666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2017,1,2017-01-01,185,0,2400000,0.22857142857142856,1.0,0.10434500385411173,1.0435660509186493,26.75,30.7,24.66,86.06,11.0,5.25,9.59,84.57,27.12,27.4,real_jakarta,not_synthetic_real_observed,7.708333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2017,2,2017-02-01,79,0,2400000,0.22857142857142856,1.0,0.13298713943770538,1.236751574141012,26.6,29.79,24.49,87.06,19.52,11.0,5.25,86.06,26.75,27.12,real_jakarta,not_synthetic_real_observed,3.291666666666667
JAKARTA BARAT,kota,DKI JAKARTA,2017,3,2017-03-01,112,0,2400000,0.22857142857142856,1.0,0.19465292709643392,1.5118342332582049,27.15,30.37,24.74,83.89,7.38,19.52,11.0,87.06,26.6,26.75,real_jakarta,not_synthetic_real_observed,4.666666666666666
JAKARTA BARAT,kota,DKI JAKARTA,2017,4,2017-04-01,79,0,2400000,0.22857142857142856,1.0,0.16191326220130633,1.093099012683912,27.41,30.65,24.99,84.46,8.42,7.38,19.52,83.89,27.15,26.6,real_jakarta,not_synthetic_real_observed,3.291666666666667
JAKARTA BARAT,kota,DKI JAKARTA,2017,5,2017-05-01,81,0,2400000,0.22857142857142856,1.0,0.14970181346099234,1.1497698105631287,27.79,30.93,24.56,82.47,4.54,8.42,7.38,84.46,27.41,27.15,real_jakarta,not_synthetic_real_observed,3.375
JAKARTA BARAT,kota,DKI JAKARTA,2017,6,2017-06-01,44,0,2400000,0.22857142857142856,1.0,0.08896912653657349,1.0016637669952926,27.23,30.45,24.93,83.74,4.39,4.54,8.42,82.47,27.79,27.41,real_jakarta,not_synthetic_real_observed,1.8333333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2017,7,2017-07-01,44,0,2400000,0.22857142857142856,1.0,0.048683516572680434,1.002584194419803,27.05,30.34,22.96,80.87,2.26,4.39,4.54,83.74,27.23,27.79,real_jakarta,not_synthetic_real_observed,1.8333333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2017,8,2017-08-01,34,0,2400000,0.22857142857142856,1.0,0.027506186863564444,0.8614822875016569,26.89,30.18,22.75,78.86,0.58,2.26,4.39,80.87,27.05,27.23,real_jakarta,not_synthetic_real_observed,1.4166666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2017,9,2017-09-01,24,0,2400000,0.22857142857142856,1.0,0.01789119234046006,0.7554548464981516,27.52,31.77,23.87,77.46,1.98,0.58,2.26,78.86,26.89,27.05,real_jakarta,not_synthetic_real_observed,1.0
JAKARTA BARAT,kota,DKI JAKARTA,2017,10,2017-10-01,58,0,2400000,0.22857142857142856,1.0,0.021826443263418396,0.7923682497742783,28.07,31.68,25.64,79.79,6.99,1.98,0.58,77.46,27.52,26.89,real_jakarta,not_synthetic_real_observed,2.4166666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2017,11,2017-11-01,39,0,2400000,0.22857142857142856,1.0,0.023286948760598808,1.0241732127438274,27.95,31.69,25.34,80.72,11.01,6.99,1.98,79.79,28.07,27.52,real_jakarta,not_synthetic_real_observed,1.6249999999999998
JAKARTA BARAT,kota,DKI JAKARTA,2017,12,2017-12-01,43,0,2400000,0.22857142857142856,1.0,0.028236439612154652,1.162732810496613,27.14,31.45,24.44,84.11,7.79,11.01,6.99,80.72,27.95,28.07,real_jakarta,not_synthetic_real_observed,1.7916666666666667
JAKARTA BARAT,kota,DKI JAKARTA,2018,1,2018-01-01,64,0,2400000,0.22857142857142856,1.0,0.10434500385411173,1.1103231790216648,26.98,30.56,24.87,84.63,6.49,7.79,11.01,84.11,27.14,27.95,real_jakarta,not_synthetic_real_observed,2.6666666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2018,2,2018-02-01,59,0,2400000,0.22857142857142856,1.0,0.13298713943770538,1.0762992002846345,26.6,29.32,24.28,86.64,16.07,6.49,7.79,84.63,26.98,27.14,real_jakarta,not_synthetic_real_observed,2.458333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2018,3,2018-03-01,95,0,2400000,0.22857142857142856,1.0,0.19465292709643392,1.3973827502870335,27.38,31.25,24.66,82.83,10.07,16.07,6.49,86.64,26.6,26.98,real_jakarta,not_synthetic_real_observed,3.958333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2018,4,2018-04-01,142,0,2400000,0.22857142857142856,1.0,0.16191326220130633,1.1593887276588244,27.85,30.69,25.38,82.7,5.66,10.07,16.07,82.83,27.38,26.6,real_jakarta,not_synthetic_real_observed,5.916666666666666
JAKARTA BARAT,kota,DKI JAKARTA,2018,5,2018-05-01,151,0,2400000,0.22857142857142856,1.0,0.14970181346099234,1.0437277534357612,27.84,31.1,25.15,82.52,2.17,5.66,10.07,82.7,27.85,27.38,real_jakarta,not_synthetic_real_observed,6.291666666666666
JAKARTA BARAT,kota,DKI JAKARTA,2018,6,2018-06-01,98,0,2400000,0.22857142857142856,1.0,0.08896912653657349,0.9333603661551761,27.45,30.55,24.08,81.44,1.97,2.17,5.66,82.52,27.84,27.85,real_jakarta,not_synthetic_real_observed,4.083333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2018,7,2018-07-01,59,0,2400000,0.22857142857142856,1.0,0.048683516572680434,0.8841311301096445,26.71,30.13,22.31,76.08,0.1,1.97,2.17,81.44,27.45,27.84,real_jakarta,not_synthetic_real_observed,2.458333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2018,8,2018-08-01,57,0,2400000,0.22857142857142856,1.0,0.027506186863564444,0.6664392226068364,26.81,30.57,22.23,75.65,0.54,0.1,1.97,76.08,26.71,27.45,real_jakarta,not_synthetic_real_observed,2.375
JAKARTA BARAT,kota,DKI JAKARTA,2018,9,2018-09-01,42,0,2400000,0.22857142857142856,1.0,0.01789119234046006,0.6739202186998985,27.67,31.77,23.67,73.72,1.85,0.54,0.1,75.65,26.81,26.71,real_jakarta,not_synthetic_real_observed,1.7499999999999998
JAKARTA BARAT,kota,DKI JAKARTA,2018,10,2018-10-01,45,0,2400000,0.22857142857142856,1.0,0.021826443263418396,0.7056667887705133,28.52,32.95,25.26,74.55,3.29,1.85,0.54,73.72,27.67,26.81,real_jakarta,not_synthetic_real_observed,1.8749999999999998
JAKARTA BARAT,kota,DKI JAKARTA,2018,11,2018-11-01,39,0,2400000,0.22857142857142856,1.0,0.023286948760598808,0.8069065381330651,28.12,33.64,25.73,78.78,5.94,3.29,1.85,74.55,28.52,27.67,real_jakarta,not_synthetic_real_observed,1.6249999999999998
JAKARTA BARAT,kota,DKI JAKARTA,2018,12,2018-12-01,58,0,2400000,0.22857142857142856,1.0,0.028236439612154652,0.9704677006504904,27.75,32.03,24.86,80.52,6.65,5.94,3.29,78.78,28.12,28.52,real_jakarta,not_synthetic_real_observed,2.4166666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2019,1,2019-01-01,252,0,2400000,0.22857142857142856,1.0,0.10434500385411173,1.0171062078715283,27.32,31.21,25.05,83.93,13.54,6.65,5.94,80.52,27.75,28.12,real_jakarta,not_synthetic_real_observed,10.5
JAKARTA BARAT,kota,DKI JAKARTA,2019,2,2019-02-01,460,0,2400000,0.22857142857142856,1.0,0.13298713943770538,1.2880382013892182,27.66,30.85,25.13,82.3,8.96,13.54,6.65,83.93,27.32,27.75,real_jakarta,not_synthetic_real_observed,19.166666666666668
JAKARTA BARAT,kota,DKI JAKARTA,2019,3,2019-03-01,539,0,2400000,0.22857142857142856,1.0,0.19465292709643392,1.1255778498804445,27.65,31.26,24.6,81.75,8.07,8.96,13.54,82.3,27.66,27.32,real_jakarta,not_synthetic_real_observed,22.458333333333332
JAKARTA BARAT,kota,DKI JAKARTA,2019,4,2019-04-01,333,0,2400000,0.22857142857142856,1.0,0.16191326220130633,1.085045976272789,28.18,31.05,25.56,82.84,8.43,8.07,8.96,81.75,27.65,27.66,real_jakarta,not_synthetic_real_observed,13.875000000000002
JAKARTA BARAT,kota,DKI JAKARTA,2019,5,2019-05-01,304,0,2400000,0.22857142857142856,1.0,0.14970181346099234,1.1455843021617467,28.08,31.25,25.3,81.97,5.41,8.43,8.07,82.84,28.18,27.65,real_jakarta,not_synthetic_real_observed,12.666666666666666
JAKARTA BARAT,kota,DKI JAKARTA,2019,6,2019-06-01,176,0,2400000,0.22857142857142856,1.0,0.08896912653657349,1.0289359504090954,27.39,30.74,23.63,79.4,1.21,5.41,8.43,81.97,28.08,28.18,real_jakarta,not_synthetic_real_observed,7.333333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2019,7,2019-07-01,73,0,2400000,0.22857142857142856,1.0,0.048683516572680434,0.8096767081476997,26.62,30.25,22.15,79.25,0.63,1.21,5.41,79.4,27.39,28.08,real_jakarta,not_synthetic_real_observed,3.0416666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2019,8,2019-08-01,31,0,2400000,0.22857142857142856,1.0,0.027506186863564444,0.7542837491133607,26.57,30.27,22.22,76.2,0.24,0.63,1.21,79.25,26.62,27.39,real_jakarta,not_synthetic_real_observed,1.2916666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2019,9,2019-09-01,25,0,2400000,0.22857142857142856,1.0,0.01789119234046006,0.6673179151972449,27.51,32.52,22.73,73.31,0.13,0.24,0.63,76.2,26.57,26.62,real_jakarta,not_synthetic_real_observed,1.0416666666666667
JAKARTA BARAT,kota,DKI JAKARTA,2019,10,2019-10-01,23,0,2400000,0.22857142857142856,1.0,0.021826443263418396,0.6366919190601571,28.68,34.16,24.46,71.5,2.06,0.13,0.24,73.31,27.51,26.57,real_jakarta,not_synthetic_real_observed,0.9583333333333334
JAKARTA BARAT,kota,DKI JAKARTA,2019,11,2019-11-01,40,0,2400000,0.22857142857142856,1.0,0.023286948760598808,0.7038615601766741,28.7,33.25,24.92,74.45,4.98,2.06,0.13,71.5,28.68,27.51,real_jakarta,not_synthetic_real_observed,1.6666666666666667
JAKARTA BARAT,kota,DKI JAKARTA,2019,12,2019-12-01,49,0,2400000,0.22857142857142856,1.0,0.028236439612154652,0.8636668512119979,28.23,32.16,25.76,79.68,8.45,4.98,2.06,74.45,28.7,28.68,real_jakarta,not_synthetic_real_observed,2.0416666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2020,1,2020-01-01,69,0,2400000,0.22857142857142856,1.0,0.10434500385411173,1.0728441921427212,27.49,30.71,25.01,84.41,12.47,8.45,4.98,79.68,28.23,28.7,real_jakarta,not_synthetic_real_observed,2.875
JAKARTA BARAT,kota,DKI JAKARTA,2020,2,2020-02-01,166,0,2400000,0.22857142857142856,1.0,0.13298713943770538,1.2746981010289198,27.38,30.84,25.45,85.87,20.58,12.47,8.45,84.41,27.49,28.23,real_jakarta,not_synthetic_real_observed,6.916666666666666
JAKARTA BARAT,kota,DKI JAKARTA,2020,3,2020-03-01,354,0,2400000,0.22857142857142856,1.0,0.19465292709643392,1.5501529498616917,27.72,30.3,25.83,84.45,10.8,20.58,12.47,85.87,27.38,27.49,real_jakarta,not_synthetic_real_observed,14.75
JAKARTA BARAT,kota,DKI JAKARTA,2020,4,2020-04-01,282,0,2400000,0.22857142857142856,1.0,0.16191326220130633,1.2353469217424102,27.98,31.33,25.64,83.46,6.87,10.8,20.58,84.45,27.72,27.38,real_jakarta,not_synthetic_real_observed,11.75
JAKARTA BARAT,kota,DKI JAKARTA,2020,5,2020-05-01,195,0,2400000,0.22857142857142856,1.0,0.14970181346099234,1.1043039921063547,28.1,31.22,26.03,84.29,5.62,6.87,10.8,83.46,27.98,27.72,real_jakarta,not_synthetic_real_observed,8.125
JAKARTA BARAT,kota,DKI JAKARTA,2020,6,2020-06-01,82,0,2400000,0.22857142857142856,1.0,0.08896912653657349,1.091662362923673,27.63,30.46,25.19,83.37,2.08,5.62,6.87,84.29,28.1,27.98,real_jakarta,not_synthetic_real_observed,3.4166666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2020,7,2020-07-01,22,0,2400000,0.22857142857142856,1.0,0.048683516572680434,0.9416221686668034,27.16,30.0,23.89,81.58,2.79,2.08,5.62,83.37,27.63,28.1,real_jakarta,not_synthetic_real_observed,0.9166666666666666
JAKARTA BARAT,kota,DKI JAKARTA,2020,8,2020-08-01,25,0,2400000,0.22857142857142856,1.0,0.027506186863564444,0.8993942558905558,27.19,30.56,23.8,82.07,1.8,2.79,2.08,81.58,27.16,27.63,real_jakarta,not_synthetic_real_observed,1.0416666666666667
JAKARTA BARAT,kota,DKI JAKARTA,2020,9,2020-09-01,19,0,2400000,0.22857142857142856,1.0,0.01789119234046006,0.8824864792976154,27.67,31.15,24.78,79.39,3.87,1.8,2.79,82.07,27.19,27.16,real_jakarta,not_synthetic_real_observed,0.7916666666666666
JAKARTA BARAT,kota,DKI JAKARTA,2020,10,2020-10-01,11,0,2400000,0.22857142857142856,1.0,0.021826443263418396,0.9023929232103547,27.69,31.38,25.34,81.25,6.64,3.87,1.8,79.39,27.67,27.19,real_jakarta,not_synthetic_real_observed,0.4583333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2020,11,2020-11-01,23,0,2400000,0.22857142857142856,1.0,0.023286948760598808,1.0315920296395806,27.85,31.59,24.93,81.3,7.96,6.64,3.87,81.25,27.69,27.67,real_jakarta,not_synthetic_real_observed,0.9583333333333334
JAKARTA BARAT,kota,DKI JAKARTA,2020,12,2020-12-01,17,0,2400000,0.22857142857142856,1.0,0.028236439612154652,1.0798524953575268,26.95,30.34,24.6,85.2,7.41,7.96,6.64,81.3,27.85,27.69,real_jakarta,not_synthetic_real_observed,0.7083333333333333
JAKARTA PUSAT,kota,DKI JAKARTA,2015,1,2015-01-01,33,0,1100000,0.10476190476190476,1.0,0.10434500385411173,1.2370903783593779,26.46,30.33,24.09,85.5,11.88,11.88,11.88,85.5,26.46,26.46,real_jakarta,not_synthetic_real_observed,3.0
JAKARTA PUSAT,kota,DKI JAKARTA,2015,2,2015-02-01,39,1,1100000,0.10476190476190476,1.0,0.13298713943770538,1.2370903783593779,26.4,29.97,24.26,85.8,19.1,11.88,19.1,85.5,26.46,26.4,real_jakarta,not_synthetic_real_observed,3.5454545454545454
JAKARTA PUSAT,kota,DKI JAKARTA,2015,3,2015-03-01,85,0,1100000,0.10476190476190476,1.0,0.19465292709643392,1.460094633518782,27.01,31.32,24.36,83.57,9.22,19.1,11.88,85.8,26.4,26.46,real_jakarta,not_synthetic_real_observed,7.7272727272727275
JAKARTA PUSAT,kota,DKI JAKARTA,2015,4,2015-04-01,100,0,1100000,0.10476190476190476,1.0,0.16191326220130633,1.1349024900696865,27.54,31.16,24.84,82.29,6.37,9.22,19.1,83.57,27.01,26.4,real_jakarta,not_synthetic_real_observed,9.09090909090909
JAKARTA PUSAT,kota,DKI JAKARTA,2015,5,2015-05-01,61,0,1100000,0.10476190476190476,1.0,0.14970181346099234,1.0416193144258792,27.5,30.73,24.01,82.94,3.17,6.37,9.22,82.29,27.54,27.01,real_jakarta,not_synthetic_real_observed,5.545454545454546
JAKARTA PUSAT,kota,DKI JAKARTA,2015,6,2015-06-01,39,0,1100000,0.10476190476190476,1.0,0.08896912653657349,0.9585426402723974,27.19,30.56,23.39,81.07,1.51,3.17,6.37,82.94,27.5,27.54,real_jakarta,not_synthetic_real_observed,3.5454545454545454
JAKARTA PUSAT,kota,DKI JAKARTA,2015,7,2015-07-01,11,0,1100000,0.10476190476190476,1.0,0.048683516572680434,0.8497957707303331,26.72,30.26,23.28,80.57,0.47,1.51,3.17,81.07,27.19,27.5,real_jakarta,not_synthetic_real_observed,1.0
JAKARTA PUSAT,kota,DKI JAKARTA,2015,8,2015-08-01,6,0,1100000,0.10476190476190476,1.0,0.027506186863564444,0.7854571898141235,26.76,31.16,22.66,78.55,0.56,0.47,1.51,80.57,26.72,27.19,real_jakarta,not_synthetic_real_observed,0.5454545454545454
JAKARTA PUSAT,kota,DKI JAKARTA,2015,9,2015-09-01,9,0,1100000,0.10476190476190476,1.0,0.01789119234046006,0.7416530970760207,27.61,32.62,23.3,73.1,0.25,0.56,0.47,78.55,26.76,26.72,real_jakarta,not_synthetic_real_observed,0.8181818181818181
JAKARTA PUSAT,kota,DKI JAKARTA,2015,10,2015-10-01,7,0,1100000,0.10476190476190476,1.0,0.021826443263418396,0.6397499237072944,28.53,33.11,24.7,72.06,0.56,0.25,0.56,73.1,27.61,26.76,real_jakarta,not_synthetic_real_observed,0.6363636363636364
JAKARTA PUSAT,kota,DKI JAKARTA,2015,11,2015-11-01,6,0,1100000,0.10476190476190476,1.0,0.023286948760598808,0.6651864019107179,28.75,33.27,25.7,75.69,4.34,0.56,0.25,72.06,28.53,27.61,real_jakarta,not_synthetic_real_observed,0.5454545454545454
JAKARTA PUSAT,kota,DKI JAKARTA,2015,12,2015-12-01,9,0,1100000,0.10476190476190476,1.0,0.028236439612154652,0.8761766508840998,27.89,31.15,24.58,80.88,7.46,4.34,0.56,75.69,28.75,28.53,real_jakarta,not_synthetic_real_observed,0.8181818181818181
JAKARTA PUSAT,kota,DKI JAKARTA,2016,1,2016-01-01,86,1,1100000,0.10476190476190476,1.0,0.10434500385411173,1.0564563125475401,28.07,31.91,24.94,81.38,7.06,7.46,4.34,80.88,27.89,28.75,real_jakarta,not_synthetic_real_observed,7.818181818181818
JAKARTA PUSAT,kota,DKI JAKARTA,2016,2,2016-02-01,31,0,1100000,0.10476190476190476,1.0,0.13298713943770538,1.0643155719842348,27.35,31.29,25.13,85.23,17.96,7.06,7.46,81.38,28.07,27.89,real_jakarta,not_synthetic_real_observed,2.818181818181818
JAKARTA PUSAT,kota,DKI JAKARTA,2017,1,2017-01-01,31,0,1100000,0.10476190476190476,1.0,0.10434500385411173,1.0435660509186493,26.75,30.7,24.66,86.06,11.0,5.25,9.59,84.57,27.12,27.4,real_jakarta,not_synthetic_real_observed,2.818181818181818
JAKARTA PUSAT,kota,DKI JAKARTA,2017,2,2017-02-01,12,0,1100000,0.10476190476190476,1.0,0.13298713943770538,1.236751574141012,26.6,29.79,24.49,87.06,19.52,11.0,5.25,86.06,26.75,27.12,real_jakarta,not_synthetic_real_observed,1.0909090909090908
JAKARTA PUSAT,kota,DKI JAKARTA,2017,3,2017-03-01,13,0,1100000,0.10476190476190476,1.0,0.19465292709643392,1.5118342332582049,27.15,30.37,24.74,83.89,7.38,19.52,11.0,87.06,26.6,26.75,real_jakarta,not_synthetic_real_observed,1.1818181818181819
JAKARTA PUSAT,kota,DKI JAKARTA,2017,4,2017-04-01,13,0,1100000,0.10476190476190476,1.0,0.16191326220130633,1.093099012683912,27.41,30.65,24.99,84.46,8.42,7.38,19.52,83.89,27.15,26.6,real_jakarta,not_synthetic_real_observed,1.1818181818181819
JAKARTA PUSAT,kota,DKI JAKARTA,2017,5,2017-05-01,9,0,1100000,0.10476190476190476,1.0,0.14970181346099234,1.1497698105631287,27.79,30.93,24.56,82.47,4.54,8.42,7.38,84.46,27.41,27.15,real_jakarta,not_synthetic_real_observed,0.8181818181818181
JAKARTA PUSAT,kota,DKI JAKARTA,2017,6,2017-06-01,16,0,1100000,0.10476190476190476,1.0,0.08896912653657349,1.0016637669952926,27.23,30.45,24.93,83.74,4.39,4.54,8.42,82.47,27.79,27.41,real_jakarta,not_synthetic_real_observed,1.4545454545454544
JAKARTA PUSAT,kota,DKI JAKARTA,2017,7,2017-07-01,3,0,1100000,0.10476190476190476,1.0,0.048683516572680434,1.002584194419803,27.05,30.34,22.96,80.87,2.26,4.39,4.54,83.74,27.23,27.79,real_jakarta,not_synthetic_real_observed,0.2727272727272727
JAKARTA PUSAT,kota,DKI JAKARTA,2017,8,2017-08-01,7,0,1100000,0.10476190476190476,1.0,0.027506186863564444,0.8614822875016569,26.89,30.18,22.75,78.86,0.58,2.26,4.39,80.87,27.05,27.23,real_jakarta,not_synthetic_real_observed,0.6363636363636364
JAKARTA PUSAT,kota,DKI JAKARTA,2017,9,2017-09-01,4,0,1100000,0.10476190476190476,1.0,0.01789119234046006,0.7554548464981516,27.52,31.77,23.87,77.46,1.98,0.58,2.26,78.86,26.89,27.05,real_jakarta,not_synthetic_real_observed,0.3636363636363636
JAKARTA PUSAT,kota,DKI JAKARTA,2017,10,2017-10-01,5,0,1100000,0.10476190476190476,1.0,0.021826443263418396,0.7923682497742783,28.07,31.68,25.64,79.79,6.99,1.98,0.58,77.46,27.52,26.89,real_jakarta,not_synthetic_real_observed,0.45454545454545453
JAKARTA PUSAT,kota,DKI JAKARTA,2017,11,2017-11-01,8,0,1100000,0.10476190476190476,1.0,0.023286948760598808,1.0241732127438274,27.95,31.69,25.34,80.72,11.01,6.99,1.98,79.79,28.07,27.52,real_jakarta,not_synthetic_real_observed,0.7272727272727272
JAKARTA PUSAT,kota,DKI JAKARTA,2017,12,2017-12-01,8,0,1100000,0.10476190476190476,1.0,0.028236439612154652,1.162732810496613,27.14,31.45,24.44,84.11,7.79,11.01,6.99,80.72,27.95,28.07,real_jakarta,not_synthetic_real_observed,0.7272727272727272
JAKARTA PUSAT,kota,DKI JAKARTA,2018,1,2018-01-01,17,0,1100000,0.10476190476190476,1.0,0.10434500385411173,1.1103231790216648,26.98,30.56,24.87,84.63,6.49,7.79,11.01,84.11,27.14,27.95,real_jakarta,not_synthetic_real_observed,1.5454545454545454
JAKARTA PUSAT,kota,DKI JAKARTA,2018,2,2018-02-01,9,0,1100000,0.10476190476190476,1.0,0.13298713943770538,1.0762992002846345,26.6,29.32,24.28,86.64,16.07,6.49,7.79,84.63,26.98,27.14,real_jakarta,not_synthetic_real_observed,0.8181818181818181
JAKARTA PUSAT,kota,DKI JAKARTA,2018,3,2018-03-01,11,0,1100000,0.10476190476190476,1.0,0.19465292709643392,1.3973827502870335,27.38,31.25,24.66,82.83,10.07,16.07,6.49,86.64,26.6,26.98,real_jakarta,not_synthetic_real_observed,1.0
JAKARTA PUSAT,kota,DKI JAKARTA,2018,4,2018-04-01,25,0,1100000,0.10476190476190476,1.0,0.16191326220130633,1.1593887276588244,27.85,30.69,25.38,82.7,5.66,10.07,16.07,82.83,27.38,26.6,real_jakarta,not_synthetic_real_observed,2.2727272727272725
JAKARTA PUSAT,kota,DKI JAKARTA,2018,5,2018-05-01,23,0,1100000,0.10476190476190476,1.0,0.14970181346099234,1.0437277534357612,27.84,31.1,25.15,82.52,2.17,5.66,10.07,82.7,27.85,27.38,real_jakarta,not_synthetic_real_observed,2.090909090909091
JAKARTA PUSAT,kota,DKI JAKARTA,2018,6,2018-06-01,7,0,1100000,0.10476190476190476,1.0,0.08896912653657349,0.9333603661551761,27.45,30.55,24.08,81.44,1.97,2.17,5.66,82.52,27.84,27.85,real_jakarta,not_synthetic_real_observed,0.6363636363636364
JAKARTA PUSAT,kota,DKI JAKARTA,2018,7,2018-07-01,7,0,1100000,0.10476190476190476,1.0,0.048683516572680434,0.8841311301096445,26.71,30.13,22.31,76.08,0.1,1.97,2.17,81.44,27.45,27.84,real_jakarta,not_synthetic_real_observed,0.6363636363636364
JAKARTA PUSAT,kota,DKI JAKARTA,2018,8,2018-08-01,6,0,1100000,0.10476190476190476,1.0,0.027506186863564444,0.6664392226068364,26.81,30.57,22.23,75.65,0.54,0.1,1.97,76.08,26.71,27.45,real_jakarta,not_synthetic_real_observed,0.5454545454545454
